Entity,Code,Year,Prevalence
Africa Eastern and Southern,AFE,2024,6.45
Africa Eastern and Southern,AFE,2011,4.59
Africa Western and Central,AFW,2024,4.22
Africa Western and Central,AFW,2011,4.41
Arab World,ARB,2024,17.3
Arab World,ARB,2011,11.94
Caribbean small states,CSS,2024,12.97
Caribbean small states,CSS,2011,12.59
Central Europe and the Baltics,CEB,2024,7.87
Central Europe and the Baltics,CEB,2011,7.48
Early-demographic dividend,EAR,2024,12.3
Early-demographic dividend,EAR,2011,8.8
East Asia & Pacific,EAS,2024,10.87
East Asia & Pacific,EAS,2011,8.02
East Asia & Pacific (excluding high income),EAP,2024,11.14
East Asia & Pacific (excluding high income),EAP,2011,8.07
East Asia & Pacific (IDA & IBRD countries),TEA,2024,11.15
East Asia & Pacific (IDA & IBRD countries),TEA,2011,8.07
Euro area,EMU,2024,7.56
Euro area,EMU,2011,5.65
Europe & Central Asia,ECS,2024,8.0
Europe & Central Asia,ECS,2011,6.54
Europe & Central Asia (excluding high income),ECA,2024,10.52
Europe & Central Asia (excluding high income),ECA,2011,5.97
Europe & Central Asia (IDA & IBRD countries),TEC,2024,8.64
Europe & Central Asia (IDA & IBRD countries),TEC,2011,7.59
European Union,EUU,2024,7.56
European Union,EUU,2011,6.02
Fragile and conflict affected situations,FCS,2024,6.98
Fragile and conflict affected situations,FCS,2011,5.71
Heavily indebted poor countries (HIPC),HPC,2024,6.61
Heavily indebted poor countries (HIPC),HPC,2011,4.34
IBRD only,IBD,2024,11.08
IBRD only,IBD,2011,8.77
IDA & IBRD total,IBT,2024,10.91
IDA & IBRD total,IBT,2011,8.23
IDA blend,IDB,2024,14.61
IDA blend,IDB,2011,6.45
IDA only,IDX,2024,8.1
IDA only,IDX,2011,5.94
IDA total,IDA,2024,10.35
IDA total,IDA,2011,6.12
Late-demographic dividend,LTE,2024,10.93
Late-demographic dividend,LTE,2011,8.75
Latin America & Caribbean,LCN,2024,11.31
Latin America & Caribbean,LCN,2011,10.27
Latin America & Caribbean (excluding high income),LAC,2024,11.43
Latin America & Caribbean (excluding high income),LAC,2011,10.3
Latin America & the Caribbean (IDA & IBRD countries),TLA,2024,11.35
Latin America & the Caribbean (IDA & IBRD countries),TLA,2011,10.27
Least developed countries: UN classification,LDC,2024,7.85
Least developed countries: UN classification,LDC,2011,5.66
Low & middle income,LMY,2024,11.18
Low & middle income,LMY,2011,8.24
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2024,20.14
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2011,10.72
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2024,20.08
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2011,10.11
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2024,20.11
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2011,10.11
Middle income,MIC,2024,11.46
Middle income,MIC,2011,8.43
North America,NAC,2024,13.04
North America,NAC,2011,9.3
OECD members,OED,2024,10.52
OECD members,OED,2011,8.08
Other small states,OSS,2024,9.73
Other small states,OSS,2011,7.89
Pacific island small states,PSS,2024,17.07
Pacific island small states,PSS,2011,13.42
Post-demographic dividend,PST,2024,9.46
Post-demographic dividend,PST,2011,7.09
Pre-demographic dividend,PRE,2024,6.34
Pre-demographic dividend,PRE,2011,4.59
Small states,SST,2024,11.36
Small states,SST,2011,9.69
South Asia,SAS,2024,10.72
South Asia,SAS,2011,9.03
South Asia (IDA & IBRD),TSA,2024,10.72
South Asia (IDA & IBRD),TSA,2011,9.03
Sub-Saharan Africa,SSF,2024,5.56
Sub-Saharan Africa,SSF,2011,4.52
Sub-Saharan Africa (excluding high income),SSA,2024,5.7
Sub-Saharan Africa (excluding high income),SSA,2011,4.64
Sub-Saharan Africa (IDA & IBRD countries),TSS,2024,5.56
Sub-Saharan Africa (IDA & IBRD countries),TSS,2011,4.52
World,WLD,2024,10.8
World,WLD,2011,8.14
Afghanistan,AFG,2024,11.7
Afghanistan,AFG,2011,7.6
Albania,ALB,2024,10.6
Albania,ALB,2011,2.8
Algeria,DZA,2024,17.5
Algeria,DZA,2011,7.0
Andorra,AND,2024,10.1
Andorra,AND,2011,5.4
Angola,AGO,2024,4.9
Angola,AGO,2011,2.9
Antigua and Barbuda,ATG,2024,11.6
Antigua and Barbuda,ATG,2011,12.5
Argentina,ARG,2024,14.0
Argentina,ARG,2011,5.5
Armenia,ARM,2024,7.7
Armenia,ARM,2011,8.5
Aruba,ABW,2024,4.6
Aruba,ABW,2011,12.4
Aruba,ABW,2000,12.1
Australia,AUS,2024,7.4
Australia,AUS,2011,6.6
Australia,AUS,2000,0.0
Austria,AUT,2024,5.4
Austria,AUT,2011,6.6
Azerbaijan,AZE,2024,10.2
Azerbaijan,AZE,2011,2.8
"Bahamas, The",BHS,2024,8.9
"Bahamas, The",BHS,2011,12.1
Bahrain,BHR,2024,22.1
Bahrain,BHR,2011,19.5
Bahrain,BHR,2000,14.8
Bangladesh,BGD,2024,13.2
Bangladesh,BGD,2011,10.5
Barbados,BRB,2024,13.2
Barbados,BRB,2011,12.4
Barbados,BRB,2000,13.2
Belarus,BLR,2024,5.1
Belarus,BLR,2011,8.0
Belgium,BEL,2024,5.9
Belgium,BEL,2011,4.8
Belize,BLZ,2024,14.1
Belize,BLZ,2011,17.0
Benin,BEN,2024,8.1
Benin,BEN,2011,2.0
Bermuda,BMU,2024,13.4
Bermuda,BMU,2011,12.0
Bermuda,BMU,2000,12.1
Bhutan,BTN,2024,12.0
Bhutan,BTN,2011,5.7
Bolivia,BOL,2024,3.4
Bolivia,BOL,2011,6.6
Bosnia and Herzegovina,BIH,2024,10.3
Bosnia and Herzegovina,BIH,2011,7.5
Botswana,BWA,2024,4.6
Botswana,BWA,2011,10.8
Brazil,BRA,2024,10.6
Brazil,BRA,2011,10.1
Brunei Darussalam,BRN,2024,13.7
Brunei Darussalam,BRN,2011,9.4
Bulgaria,BGR,2024,7.4
Bulgaria,BGR,2011,6.7
Burkina Faso,BFA,2024,4.5
Burkina Faso,BFA,2011,3.0
Burundi,BDI,2024,4.3
Burundi,BDI,2011,2.7
Cabo Verde,CPV,2024,6.8
Cabo Verde,CPV,2011,5.4
Cambodia,KHM,2024,7.5
Cambodia,KHM,2011,2.9
Cameroon,CMR,2024,6.9
Cameroon,CMR,2011,6.1
Cameroon,CMR,2000,0.0
Canada,CAN,2024,7.7
Canada,CAN,2011,8.4
Cayman Islands,CYM,2024,11.1
Cayman Islands,CYM,2011,12.0
Cayman Islands,CYM,2000,12.1
Central African Republic,CAF,2024,7.6
Central African Republic,CAF,2011,3.2
Chad,TCD,2024,7.3
Chad,TCD,2011,3.9
Chile,CHL,2024,12.2
Chile,CHL,2011,9.5
China,CHN,2024,11.9
China,CHN,2011,8.8
Colombia,COL,2024,8.4
Colombia,COL,2011,9.8
Comoros,COM,2024,10.8
Comoros,COM,2011,8.4
"Congo, Dem. Rep.",COD,2024,7.7
"Congo, Dem. Rep.",COD,2011,3.1
"Congo, Rep.",COG,2024,8.1
"Congo, Rep.",COG,2011,5.5
Costa Rica,CRI,2024,9.8
Costa Rica,CRI,2011,9.6
Cote d'Ivoire,CIV,2024,5.0
Cote d'Ivoire,CIV,2011,4.9
Croatia,HRV,2024,10.5
Croatia,HRV,2011,5.2
Cuba,CUB,2024,9.4
Cuba,CUB,2011,9.4
Curacao,CUW,2024,13.4
Cyprus,CYP,2024,10.0
Cyprus,CYP,2011,9.3
Czechia,CZE,2024,7.6
Czechia,CZE,2011,5.3
Czechia,CZE,2000,11.7
